fecha,plataforma,menciones,sentimiento,likes,shares,comentarios,id_producto
2024-01-02,Instagram,9,Neutral,824,194,85,508
2024-01-02,TikTok,164,Positivo,724,328,85,528
2024-01-03,TikTok,59,Neutral,847,204,62,514
2024-01-03,Instagram,82,Neutral,809,191,69,538
2024-01-03,Instagram,74,Neutral,344,15,11,546
2024-01-03,TikTok,9,Neutral,248,70,40,502
2024-01-03,Facebook,189,Positivo,618,495,100,540
2024-01-03,Twitter,100,Neutral,212,151,15,512
2024-01-03,Instagram,52,Positivo,50,39,77,517
2024-01-03,TikTok,56,Negativo,134,413,80,536
2024-01-03,Facebook,65,Neutral,829,227,12,507
2024-01-03,Instagram,66,Neutral,698,269,68,524
2024-01-03,TikTok,44,Positivo,928,369,63,508
2024-01-03,Twitter,33,Neutral,63,135,90,539
2024-01-03,Twitter,142,Neutral,786,223,10,527
2024-01-03,Twitter,9,Negativo,650,184,42,547
2024-01-03,Twitter,40,Neutral,60,346,86,549
2024-01-03,Facebook,137,Positivo,334,160,54,543
2024-01-03,Facebook,65,Negativo,111,424,62,544
2024-01-03,Facebook,51,Negativo,184,182,9,535
2024-01-03,Instagram,128,Negativo,678,99,13,502
2024-01-03,Twitter,60,Neutral,311,63,64,522
2024-01-03,Instagram,149,Positivo,559,458,34,512
2024-01-03,TikTok,172,Negativo,442,70,19,506
2024-01-03,Facebook,181,Neutral,849,84,21,521
2024-01-03,TikTok,61,Neutral,526,89,67,514
2024-01-04,Facebook,119,Negativo,920,396,33,532
2024-01-04,Instagram,129,Positivo,345,404,3,549
2024-01-04,TikTok,127,Neutral,556,460,80,519
2024-01-04,Twitter,126,Negativo,282,471,25,541
2024-01-04,Instagram,26,Neutral,723,239,29,526
2024-01-04,Instagram,54,Neutral,739,404,36,526
2024-01-04,Twitter,175,Positivo,736,91,20,506
2024-01-04,TikTok,86,Negativo,583,286,90,530
2024-01-04,Facebook,31,Neutral,442,69,45,521
2024-01-04,Instagram,48,Neutral,588,33,42,524
2024-01-04,Instagram,44,Negativo,966,162,87,546
2024-01-04,TikTok,181,Negativo,489,324,0,508
2024-01-04,Instagram,141,Positivo,59,30,62,502
2024-01-04,TikTok,54,Negativo,308,231,57,502
2024-01-04,Facebook,72,Positivo,465,11,21,518
2024-01-04,Twitter,91,Neutral,853,5,94,501
2024-01-04,TikTok,197,Positivo,56,427,26,516
2024-01-04,Instagram,188,Negativo,195,31,35,548
2024-01-04,Facebook,29,Negativo,249,77,99,515
2024-01-04,Instagram,28,Positivo,792,440,66,502
2024-01-04,TikTok,82,Negativo,212,381,44,548
2024-01-04,TikTok,193,Neutral,517,267,29,519
2024-01-04,Instagram,68,Neutral,541,133,54,526
2024-01-04,Twitter,116,Negativo,898,406,85,506
2024-01-04,Instagram,163,Positivo,603,259,88,501
2024-01-05,Facebook,53,Negativo,537,499,93,531
2024-01-05,TikTok,2,Positivo,512,21,54,550
2024-01-05,TikTok,16,Positivo,628,455,47,512
2024-01-05,Twitter,133,Negativo,610,470,8,534
2024-01-05,Facebook,45,Positivo,41,271,72,543
2024-01-05,Instagram,122,Neutral,469,280,98,517
2024-01-05,Twitter,41,Negativo,326,210,20,526
2024-01-05,TikTok,82,Negativo,213,44,83,507
2024-01-05,Instagram,110,Positivo,375,90,66,514
2024-01-05,Twitter,76,Neutral,310,100,70,526
2024-01-05,Instagram,31,Negativo,968,349,15,539
2024-01-05,Twitter,97,Neutral,58,268,17,533
2024-01-05,TikTok,76,Positivo,619,139,50,508
2024-01-05,TikTok,165,Negativo,836,163,100,503
2024-01-05,Twitter,38,Positivo,166,317,9,540
2024-01-05,TikTok,99,Positivo,811,206,66,536
2024-01-05,Facebook,199,Negativo,19,133,64,506
2024-01-05,Facebook,117,Negativo,841,451,82,520
2024-01-05,Twitter,53,Neutral,268,116,39,531
2024-01-05,Facebook,142,Neutral,438,331,60,518
2024-01-05,Facebook,179,Neutral,633,292,42,531
2024-01-05,Facebook,172,Negativo,17,297,71,520
2024-01-05,Facebook,178,Neutral,98,329,23,529
2024-01-05,Facebook,2,Positivo,746,99,64,549
2024-01-05,Instagram,78,Negativo,996,347,63,534
2024-01-06,Twitter,112,Positivo,792,84,65,521
2024-01-06,Facebook,101,Positivo,187,56,10,531
2024-01-06,TikTok,141,Neutral,970,192,80,505
2024-01-06,Instagram,161,Negativo,27,358,41,549
2024-01-06,Facebook,36,Positivo,732,153,82,538
2024-01-06,Facebook,188,Negativo,54,149,58,538
2024-01-06,Facebook,197,Negativo,930,126,80,501
2024-01-06,Facebook,139,Negativo,334,292,57,507
2024-01-06,Twitter,124,Negativo,918,153,28,521
2024-01-06,Twitter,50,Neutral,324,418,13,548
2024-01-06,Facebook,153,Neutral,992,277,77,513
2024-01-06,Facebook,44,Positivo,67,62,17,549
2024-01-06,Twitter,62,Positivo,543,459,59,541
2024-01-06,Instagram,67,Negativo,73,260,2,545
2024-01-06,Facebook,190,Negativo,239,165,99,536
2024-01-06,Facebook,148,Positivo,375,190,40,520
2024-01-07,Facebook,10,Positivo,548,10,21,516
2024-01-07,Instagram,68,Positivo,654,469,26,537
2024-01-07,Twitter,96,Neutral,485,401,52,531
2024-01-07,Facebook,198,Negativo,605,431,72,505
2024-01-07,TikTok,86,Negativo,223,335,62,531
2024-01-07,TikTok,168,Neutral,924,25,72,551
2024-01-07,TikTok,54,Negativo,753,460,21,510
2024-01-07,Twitter,157,Positivo,836,357,62,519
2024-01-07,Instagram,141,Negativo,814,265,27,547
2024-01-07,TikTok,103,Negativo,892,339,32,535
2024-01-07,TikTok,48,Neutral,981,83,96,536
2024-01-07,TikTok,13,Negativo,576,181,98,528
2024-01-07,TikTok,182,Positivo,739,256,44,509
2024-01-07,Facebook,48,Positivo,30,68,74,539
2024-01-07,Twitter,22,Positivo,980,121,23,528
2024-01-07,Twitter,196,Positivo,563,304,42,515
2024-01-07,Twitter,135,Positivo,720,490,61,503
2024-01-07,Facebook,57,Positivo,622,406,98,545
2024-01-07,TikTok,73,Negativo,105,356,7,517
2024-01-07,Instagram,87,Negativo,564,209,32,502
2024-01-07,Facebook,177,Neutral,367,340,76,538
2024-01-07,Twitter,70,Negativo,118,345,73,545
2024-01-07,Instagram,39,Positivo,421,303,54,523
2024-01-07,Facebook,35,Neutral,910,216,11,531
2024-01-07,Twitter,174,Neutral,752,118,72,551
2024-01-07,Twitter,55,Neutral,527,489,66,537
2024-01-07,Instagram,14,Positivo,762,188,95,543
2024-01-07,Facebook,114,Positivo,27,10,94,519
2024-01-07,Twitter,19,Positivo,938,20,95,506
2024-01-08,Twitter,46,Negativo,280,294,49,505
2024-01-08,Twitter,94,Neutral,284,496,0,522
2024-01-08,Facebook,60,Negativo,891,350,83,523
2024-01-08,TikTok,163,Negativo,293,114,88,503
2024-01-08,Instagram,187,Neutral,301,52,4,502
2024-01-08,Instagram,61,Neutral,312,17,0,518
2024-01-08,Facebook,17,Negativo,143,384,22,521
2024-01-08,Instagram,11,Negativo,842,484,95,528
2024-01-08,Facebook,135,Negativo,207,159,29,544
2024-01-08,Facebook,44,Neutral,321,344,46,543
2024-01-08,Twitter,89,Negativo,122,170,38,517
2024-01-08,Instagram,78,Positivo,617,428,78,534
2024-01-08,TikTok,3,Neutral,625,462,63,507
2024-01-08,Instagram,163,Negativo,834,450,79,543
2024-01-08,Instagram,126,Neutral,447,479,2,548
2024-01-08,Twitter,35,Positivo,890,70,87,513
2024-01-08,Twitter,74,Negativo,451,292,28,524
2024-01-08,Facebook,22,Negativo,727,462,37,551
2024-01-08,Instagram,67,Negativo,694,9,25,537
2024-01-08,Twitter,63,Negativo,304,468,35,535
2024-01-08,Facebook,171,Negativo,833,57,3,528
2024-01-08,TikTok,132,Negativo,543,354,11,542
2024-01-08,Facebook,63,Positivo,27,17,66,505
2024-01-08,TikTok,19,Negativo,910,104,6,541
2024-01-08,Facebook,117,Negativo,171,12,22,526
2024-01-08,Facebook,18,Positivo,394,47,55,526
2024-01-08,TikTok,12,Positivo,850,21,74,503
2024-01-09,TikTok,117,Neutral,963,142,82,504
2024-01-09,Instagram,123,Neutral,66,383,1,539
2024-01-09,Twitter,99,Neutral,949,231,20,509
2024-01-09,Twitter,46,Negativo,88,379,95,540
2024-01-09,Instagram,66,Neutral,924,89,96,533
2024-01-09,Twitter,142,Positivo,570,418,78,511
2024-01-09,TikTok,120,Positivo,263,63,67,550
2024-01-09,Instagram,106,Positivo,271,285,72,511
2024-01-09,Instagram,115,Neutral,264,334,43,540
2024-01-09,Facebook,157,Neutral,657,121,46,538
2024-01-09,Instagram,75,Negativo,951,75,67,533
2024-01-09,Instagram,85,Neutral,160,20,89,540
2024-01-09,Twitter,54,Neutral,232,308,66,524
2024-01-09,Instagram,79,Neutral,640,40,89,517
2024-01-09,TikTok,105,Negativo,334,186,46,506
2024-01-09,Twitter,77,Negativo,210,114,57,544
2024-01-09,TikTok,155,Neutral,129,323,10,512
2024-01-09,Facebook,105,Positivo,863,232,26,503
2024-01-09,Facebook,136,Positivo,511,202,2,540
2024-01-09,Twitter,180,Neutral,457,356,54,514
2024-01-09,TikTok,170,Positivo,339,470,91,503
2024-01-09,TikTok,193,Positivo,232,348,44,544
2024-01-10,Instagram,72,Negativo,838,222,82,518
2024-01-10,TikTok,30,Positivo,207,491,63,541
2024-01-10,TikTok,140,Positivo,755,202,66,547
2024-01-10,Facebook,197,Neutral,77,364,44,544
2024-01-10,Instagram,83,Positivo,256,77,45,511
2024-01-10,Twitter,144,Neutral,455,96,45,525
2024-01-10,Twitter,37,Neutral,70,22,26,518
2024-01-10,Instagram,99,Neutral,851,236,64,512
2024-01-10,Facebook,28,Negativo,661,350,6,503
2024-01-10,Instagram,33,Neutral,501,65,2,530
2024-01-10,Instagram,194,Neutral,203,78,68,536
2024-01-10,Twitter,105,Positivo,240,426,3,520
2024-01-10,Facebook,166,Negativo,89,475,56,522
2024-01-10,Instagram,155,Negativo,64,314,63,503
2024-01-10,Facebook,94,Neutral,275,438,40,545
2024-01-10,Instagram,146,Neutral,518,487,91,536
2024-01-10,Instagram,137,Neutral,729,45,5,516
2024-01-10,Facebook,3,Positivo,973,239,100,531
2024-01-10,TikTok,69,Negativo,450,348,32,501
2024-01-10,Instagram,104,Positivo,964,481,0,531
2024-01-10,Facebook,7,Positivo,751,379,17,528
2024-01-10,Instagram,186,Negativo,25,117,100,545
2024-01-10,Twitter,54,Positivo,358,278,5,527
2024-01-10,Instagram,117,Positivo,147,271,48,521
2024-01-10,Twitter,23,Negativo,607,454,47,545
2024-01-11,TikTok,49,Positivo,447,330,43,529
2024-01-11,Twitter,78,Neutral,842,297,21,541
2024-01-11,Instagram,55,Neutral,651,128,32,536
2024-01-11,Twitter,139,Neutral,350,309,29,542
2024-01-11,TikTok,124,Positivo,813,307,41,544
2024-01-11,Twitter,10,Negativo,101,437,50,508
2024-01-11,TikTok,110,Negativo,826,222,18,512
2024-01-11,TikTok,52,Neutral,230,280,24,512
2024-01-11,TikTok,41,Positivo,676,120,79,535
2024-01-11,Facebook,143,Neutral,588,156,6,508
2024-01-11,TikTok,160,Neutral,184,85,89,547
2024-01-11,TikTok,2,Negativo,242,465,72,515
2024-01-11,TikTok,181,Neutral,441,213,60,525
2024-01-11,Twitter,162,Positivo,580,464,60,539
2024-01-11,Facebook,67,Negativo,765,395,48,527
2024-01-11,Facebook,36,Negativo,624,82,75,537
2024-01-11,Facebook,162,Neutral,610,313,32,522
2024-01-11,Twitter,66,Neutral,856,491,83,523
2024-01-11,TikTok,91,Neutral,738,145,11,517
2024-01-11,Twitter,189,Positivo,847,108,99,540
2024-01-11,Facebook,94,Negativo,770,404,94,513
2024-01-11,TikTok,151,Neutral,756,236,1,521
2024-01-12,Twitter,30,Negativo,842,353,78,544
2024-01-12,Twitter,86,Positivo,158,270,66,524
2024-01-12,Facebook,55,Negativo,180,428,97,503
2024-01-12,Facebook,53,Positivo,931,13,35,509
2024-01-12,TikTok,10,Positivo,153,169,92,516
2024-01-12,Twitter,74,Negativo,713,272,29,539
2024-01-12,TikTok,34,Positivo,12,406,38,543
2024-01-12,Instagram,19,Positivo,172,55,45,548
2024-01-12,Twitter,152,Positivo,952,262,100,526
2024-01-12,Instagram,84,Negativo,480,479,74,525
2024-01-12,Facebook,91,Negativo,563,325,31,535
2024-01-12,Facebook,63,Neutral,926,293,58,533
2024-01-12,Facebook,192,Negativo,887,213,82,538
2024-01-12,TikTok,105,Positivo,253,384,95,534
2024-01-12,Twitter,63,Positivo,112,493,84,510
2024-01-12,Instagram,45,Neutral,843,400,11,509
2024-01-12,Facebook,45,Positivo,141,6,79,515
2024-01-12,TikTok,190,Neutral,839,268,66,508
2024-01-12,Facebook,124,Negativo,805,148,100,504
2024-01-12,Instagram,158,Negativo,398,358,77,527
2024-01-12,TikTok,14,Positivo,398,272,71,524
2024-01-12,TikTok,62,Neutral,453,344,47,515
2024-01-12,TikTok,122,Negativo,616,390,26,528
2024-01-12,TikTok,131,Neutral,710,328,56,543
2024-01-12,Facebook,31,Negativo,215,161,60,523
2024-01-12,Twitter,56,Negativo,654,172,56,551
2024-01-12,TikTok,25,Neutral,772,338,8,509
2024-01-12,Instagram,119,Negativo,66,353,93,549
2024-01-13,Facebook,108,Neutral,524,363,50,524
2024-01-13,Instagram,68,Positivo,901,294,61,513
2024-01-13,Twitter,52,Neutral,777,122,1,542
2024-01-13,Facebook,182,Positivo,420,203,79,536
2024-01-13,Twitter,75,Negativo,765,44,5,503
2024-01-13,Twitter,162,Neutral,599,289,82,506
2024-01-13,Facebook,93,Neutral,520,446,100,513
2024-01-13,Instagram,197,Negativo,842,422,35,549
2024-01-13,Instagram,34,Neutral,681,222,46,504
2024-01-13,TikTok,130,Positivo,178,261,36,543
2024-01-13,Twitter,143,Neutral,999,24,16,501
2024-01-13,Twitter,5,Negativo,415,415,22,549
2024-01-13,Facebook,20,Neutral,150,80,19,541
2024-01-13,Instagram,69,Negativo,124,380,34,512
2024-01-13,Twitter,178,Positivo,324,473,76,529
2024-01-13,Facebook,146,Negativo,85,174,45,504
2024-01-13,Facebook,100,Positivo,990,38,73,521
2024-01-13,Instagram,92,Positivo,87,110,66,512
2024-01-13,Twitter,131,Negativo,435,56,18,540
2024-01-13,Instagram,194,Neutral,620,437,89,531
2024-01-13,Twitter,158,Neutral,849,498,89,524
2024-01-13,TikTok,185,Negativo,239,175,20,537
2024-01-13,Instagram,131,Positivo,942,127,68,506
2024-01-13,Facebook,85,Neutral,776,322,52,533
2024-01-13,TikTok,14,Positivo,34,49,48,525
2024-01-13,Twitter,66,Positivo,559,349,50,503
2024-01-13,Instagram,140,Negativo,905,206,56,506
2024-01-13,Facebook,88,Positivo,866,295,31,521
2024-01-13,Instagram,66,Negativo,633,108,45,531
2024-01-13,Facebook,174,Positivo,887,204,17,525
2024-01-14,Instagram,139,Negativo,692,338,16,523
2024-01-14,Twitter,16,Neutral,315,473,47,536
2024-01-14,Facebook,140,Neutral,159,352,32,513
2024-01-14,Instagram,48,Neutral,489,45,33,505
2024-01-14,TikTok,171,Positivo,413,434,99,522
2024-01-14,TikTok,176,Negativo,793,497,46,501
2024-01-14,Facebook,156,Neutral,362,438,45,516
2024-01-14,Instagram,150,Positivo,771,248,86,513
2024-01-14,Facebook,7,Neutral,643,346,22,533
2024-01-14,Facebook,32,Positivo,408,330,98,528
2024-01-14,Twitter,196,Negativo,774,20,17,511
2024-01-14,Facebook,61,Neutral,415,469,47,506
2024-01-14,TikTok,161,Positivo,219,469,62,532
2024-01-14,TikTok,35,Neutral,383,463,98,527
2024-01-14,Twitter,181,Neutral,862,5,0,533
2024-01-14,Twitter,101,Negativo,610,290,52,506
2024-01-14,TikTok,57,Positivo,607,200,66,506
2024-01-14,TikTok,24,Negativo,556,343,32,504
2024-01-14,TikTok,41,Positivo,680,264,98,547
2024-01-14,Instagram,3,Positivo,501,76,68,537
2024-01-14,Facebook,61,Negativo,442,350,0,505
2024-01-14,Twitter,146,Positivo,255,196,32,511
2024-01-14,Facebook,183,Negativo,561,470,20,505
2024-01-14,TikTok,135,Negativo,121,151,24,547
2024-01-15,Instagram,155,Positivo,950,293,10,528
2024-01-15,Twitter,106,Negativo,904,39,83,537
2024-01-15,Instagram,61,Neutral,629,327,100,520
2024-01-15,Facebook,190,Negativo,807,76,12,535
2024-01-15,Twitter,62,Negativo,762,151,10,536
2024-01-15,Instagram,162,Negativo,112,71,38,536
2024-01-15,TikTok,197,Negativo,554,454,17,515
2024-01-15,TikTok,76,Negativo,966,301,16,520
2024-01-15,Twitter,187,Negativo,150,403,38,537
2024-01-15,Instagram,32,Negativo,166,486,1,540
2024-01-15,Facebook,168,Negativo,42,111,42,537
2024-01-15,TikTok,141,Negativo,73,178,47,548
2024-01-15,TikTok,99,Negativo,684,361,28,527
2024-01-15,Facebook,26,Positivo,125,128,93,528
2024-01-15,Facebook,34,Positivo,46,492,52,519
2024-01-15,Twitter,134,Negativo,464,296,84,550
2024-01-15,Instagram,35,Positivo,759,79,19,542
2024-01-15,Twitter,140,Negativo,779,86,44,529
2024-01-15,TikTok,48,Neutral,778,451,16,545
2024-01-15,Twitter,178,Positivo,770,309,26,546
2024-01-15,Facebook,69,Positivo,901,387,46,526
2024-01-15,Facebook,37,Negativo,408,172,91,506
2024-01-15,Facebook,12,Negativo,485,474,54,501
2024-01-15,Instagram,171,Neutral,952,384,10,511
2024-01-15,Facebook,57,Negativo,477,49,17,514
2024-01-15,Instagram,29,Negativo,815,433,26,517
2024-01-15,Twitter,106,Positivo,977,6,2,502
2024-01-15,TikTok,199,Neutral,853,475,38,510
2024-01-15,TikTok,130,Neutral,503,240,47,533
2024-01-16,Facebook,101,Positivo,584,84,47,511
2024-01-16,Instagram,117,Positivo,714,313,28,501
2024-01-16,Facebook,184,Neutral,104,144,65,512
2024-01-16,Facebook,139,Positivo,858,31,11,549
2024-01-16,Facebook,150,Neutral,580,494,12,528
2024-01-16,TikTok,24,Negativo,890,374,40,530
2024-01-16,Instagram,32,Positivo,444,465,100,505
2024-01-16,TikTok,18,Positivo,277,444,65,532
2024-01-16,Instagram,151,Positivo,310,9,74,505
2024-01-16,Facebook,18,Positivo,400,143,77,504
2024-01-16,Twitter,22,Negativo,79,410,91,549
2024-01-16,Facebook,129,Neutral,824,101,59,551
2024-01-16,TikTok,110,Positivo,101,392,38,534
2024-01-16,Facebook,109,Negativo,350,18,78,551
2024-01-16,Instagram,137,Neutral,246,482,48,508
2024-01-16,Instagram,17,Negativo,77,151,57,545
2024-01-16,Facebook,152,Negativo,370,13,43,525
2024-01-16,Twitter,67,Negativo,257,349,67,516
2024-01-16,Facebook,133,Positivo,240,30,24,532
2024-01-17,Facebook,134,Neutral,14,74,25,537
2024-01-17,Facebook,138,Positivo,31,50,73,524
2024-01-17,TikTok,168,Negativo,509,155,29,535
2024-01-17,Facebook,175,Negativo,873,134,13,530
2024-01-17,Facebook,50,Negativo,598,493,51,506
2024-01-17,Instagram,174,Negativo,127,205,84,535
2024-01-17,Instagram,51,Negativo,251,15,67,540
2024-01-17,Facebook,186,Negativo,665,311,66,517
2024-01-17,TikTok,104,Positivo,364,167,40,511
2024-01-17,Facebook,173,Neutral,664,262,50,530
2024-01-17,Twitter,104,Positivo,763,34,47,518
2024-01-17,Instagram,141,Negativo,614,267,49,514
2024-01-17,Twitter,172,Negativo,212,288,13,546
2024-01-17,Instagram,116,Negativo,421,359,67,503
2024-01-17,Instagram,76,Positivo,697,139,67,517
2024-01-17,Facebook,184,Positivo,57,242,100,518
2024-01-17,Twitter,168,Negativo,251,223,2,513
2024-01-17,Facebook,4,Positivo,308,294,82,519
2024-01-17,Facebook,90,Positivo,425,381,65,515
2024-01-17,Instagram,111,Negativo,679,117,69,502
2024-01-17,TikTok,130,Negativo,656,219,86,535
2024-01-17,Instagram,118,Positivo,67,303,41,547
2024-01-17,Facebook,129,Positivo,841,119,9,527
2024-01-17,Facebook,42,Positivo,998,477,45,531
2024-01-18,Twitter,131,Neutral,377,291,75,538
2024-01-18,Twitter,56,Negativo,604,389,4,527
2024-01-18,Instagram,154,Positivo,279,486,71,517
2024-01-18,TikTok,62,Negativo,632,271,80,528
2024-01-18,Twitter,6,Neutral,349,203,30,528
2024-01-18,TikTok,66,Neutral,109,194,88,510
2024-01-18,Instagram,25,Neutral,68,477,41,534
2024-01-18,Instagram,75,Positivo,111,227,50,522
2024-01-18,TikTok,95,Neutral,540,53,85,524
2024-01-18,TikTok,180,Negativo,588,427,92,506
2024-01-18,Facebook,119,Negativo,461,367,37,544
2024-01-18,Twitter,114,Positivo,721,182,82,528
2024-01-18,Instagram,46,Neutral,645,232,75,515
2024-01-18,TikTok,138,Positivo,642,19,47,521
2024-01-18,Instagram,103,Neutral,857,300,39,520
2024-01-18,Twitter,163,Neutral,228,492,19,519
2024-01-18,Facebook,164,Negativo,883,60,74,529
2024-01-18,Facebook,77,Positivo,425,110,0,502
2024-01-18,TikTok,150,Negativo,800,169,11,515
2024-01-18,Instagram,69,Positivo,218,91,11,550
2024-01-19,Facebook,191,Positivo,456,263,46,501
2024-01-19,Twitter,135,Negativo,14,188,63,509
2024-01-19,TikTok,127,Negativo,190,396,21,535
2024-01-19,Instagram,120,Neutral,646,122,40,526
2024-01-19,Twitter,184,Neutral,221,197,66,550
2024-01-19,Instagram,53,Positivo,125,414,92,527
2024-01-19,Twitter,102,Positivo,85,305,41,527
2024-01-19,TikTok,44,Positivo,503,157,35,502
2024-01-19,TikTok,22,Positivo,804,162,18,535
2024-01-19,Instagram,108,Negativo,857,382,31,538
2024-01-20,TikTok,127,Negativo,1000,426,54,539
2024-01-20,Instagram,118,Positivo,852,108,37,511
2024-01-20,Facebook,151,Neutral,669,236,59,542
2024-01-20,Facebook,165,Neutral,708,279,13,541
2024-01-20,TikTok,54,Neutral,923,344,19,507
2024-01-20,TikTok,13,Negativo,213,70,56,536
2024-01-20,Twitter,32,Negativo,71,234,21,507
2024-01-20,Instagram,51,Negativo,246,262,46,514
2024-01-20,Instagram,182,Neutral,903,87,68,511
2024-01-20,Instagram,88,Positivo,19,124,100,506
2024-01-20,TikTok,49,Positivo,120,24,37,507
2024-01-20,Twitter,102,Positivo,215,322,38,521
2024-01-20,Instagram,104,Neutral,71,381,63,542
2024-01-20,TikTok,22,Neutral,902,312,95,551
2024-01-20,Twitter,86,Negativo,636,387,27,550
2024-01-20,Instagram,114,Positivo,706,22,57,535
2024-01-20,Facebook,149,Negativo,181,19,27,538
2024-01-20,Twitter,177,Negativo,478,416,20,548
2024-01-20,Twitter,167,Neutral,238,129,65,543
2024-01-20,Twitter,135,Positivo,335,327,19,514
2024-01-20,TikTok,190,Positivo,21,287,28,551
2024-01-20,TikTok,67,Neutral,592,15,99,526
2024-01-20,TikTok,83,Neutral,567,54,71,548
2024-01-20,Facebook,58,Positivo,737,375,0,542
2024-01-20,Twitter,99,Negativo,493,492,27,505
2024-01-20,TikTok,46,Negativo,693,49,57,520
2024-01-20,Twitter,168,Positivo,876,405,99,509
2024-01-20,TikTok,162,Negativo,588,201,31,501
2024-01-20,Facebook,188,Negativo,374,65,44,527
2024-01-20,Twitter,131,Positivo,135,197,25,543
2024-01-21,Twitter,73,Positivo,919,132,64,548
2024-01-21,Instagram,89,Negativo,860,116,18,538
2024-01-21,TikTok,149,Positivo,383,283,100,502
2024-01-21,Facebook,50,Neutral,655,301,88,515
2024-01-21,TikTok,141,Negativo,900,324,53,516
2024-01-21,Instagram,137,Neutral,423,361,27,518
2024-01-21,Facebook,194,Positivo,881,84,3,514
2024-01-21,Facebook,196,Negativo,390,320,41,540
2024-01-21,Facebook,33,Positivo,890,109,24,525
2024-01-21,Instagram,178,Negativo,937,140,63,515
2024-01-21,TikTok,96,Negativo,620,452,96,529
2024-01-21,Facebook,192,Neutral,361,365,30,540
2024-01-21,Facebook,86,Negativo,583,127,53,521
2024-01-21,TikTok,168,Negativo,223,144,25,501
2024-01-21,Facebook,159,Neutral,698,352,63,530
2024-01-21,Facebook,155,Negativo,483,480,82,551
2024-01-21,Instagram,162,Neutral,395,481,46,530
2024-01-21,Instagram,138,Neutral,175,54,78,547
2024-01-21,Facebook,21,Neutral,979,47,2,530
2024-01-21,Twitter,52,Positivo,264,258,64,544
2024-01-21,Twitter,74,Neutral,60,161,32,550
2024-01-21,Facebook,60,Positivo,592,316,83,501
2024-01-21,Twitter,127,Negativo,302,48,98,517
2024-01-21,Instagram,47,Neutral,633,246,35,538
2024-01-21,Facebook,168,Positivo,512,394,93,524
2024-01-21,Instagram,200,Negativo,546,456,55,527
2024-01-21,TikTok,194,Positivo,174,328,45,532
2024-01-21,Facebook,76,Neutral,115,419,83,523
2024-01-21,Instagram,199,Positivo,649,481,78,529
2024-01-21,TikTok,123,Positivo,243,23,67,514
2024-01-22,TikTok,144,Positivo,682,147,70,536
2024-01-22,Twitter,41,Neutral,590,101,35,545
2024-01-22,TikTok,37,Neutral,381,319,48,513
2024-01-22,Instagram,40,Neutral,987,450,77,532
2024-01-22,Facebook,44,Positivo,214,169,34,529
2024-01-22,Instagram,2,Negativo,669,124,48,502
2024-01-22,Instagram,16,Positivo,579,135,25,515
2024-01-22,Instagram,149,Positivo,908,325,4,518
2024-01-22,Facebook,163,Neutral,778,194,42,551
